Reference, Value, Footprint, Datasheet
RN-42,Roving_RN-42,w_rf_modules:roving_rn-42,
C1,100n,w_smd_cap:c_0603,
C2,100n,w_smd_cap:c_0603,
C3,100n,w_smd_cap:c_0603,
C4,100n,w_smd_cap:c_0603,
D1,GREEN,w_smd_leds:Led_0603,
D2,BLUE,w_smd_leds:Led_0603,
R1,510R,w_smd_resistors:r_0603,
R2,680R,w_smd_resistors:r_0603,
R3,10k,w_smd_resistors:r_0603,
C5,10u,w_smd_cap:c_0603,
SWITCH0,ON/OFF,w_switch:switch_mmp122-r,
BAT1,BAT,w_pin_strip:pin_socket_2,
C6,100n,w_smd_cap:c_0603,
C7,100n,w_smd_cap:c_0603,
ENC2,ENC2,w_pin_strip:pin_socket_3,
ENC1,ENC1,w_pin_strip:pin_socket_3,
C8,100uF,w_smd_cap:c_0603,
C9,10uF,w_smd_cap:c_0603,
VCAP1,2.2u,w_smd_cap:c_0603,
VCAP2,2.2u,w_smd_cap:c_0603,
C15,100nF,w_smd_cap:c_0603,
C16,100n,w_smd_cap:c_0603,
C18,15p,w_smd_cap:c_0603,
C17,15p,w_smd_cap:c_0603,
R5,510R,w_smd_resistors:r_0603,
R6,680R,w_smd_resistors:r_0603,
R7,680R,w_smd_resistors:r_0603,
R8,680R,w_smd_resistors:r_0603,
D3,GREEN,w_smd_leds:Led_0603,
D4,ORANGE,w_smd_leds:Led_0603,
D5,RED,w_smd_leds:Led_0603,
D6,BLUE,w_smd_leds:Led_0603,
R9,680R,w_smd_resistors:r_0603,
D7,RED,w_smd_leds:Led_0603,
ADC/SPI2,STRIP_CON,w_conn_panelmate:panelmate_smd_20,
SWD0,SWD,w_conn_jst-ph:s6b-ph-sm4-tb,
VDD33,LM1117-SOT,w_smd_trans:sot223,
C19,0.1uF,w_smd_cap:c_0603,
C20,0.1uF,w_smd_cap:c_0603,
C21,2.2nF,w_smd_cap:c_0603,
L1,2.2uH,w_smd_inductors:inductor_smd_6.5x4.8mm,
C11,22uF,w_smd_cap:c_elec_4x5.8,
C36,100nF,,
C37,100n,,
R32,10k,,
R31,10k,,
R30,10k,,
R29,10k,,
C41,100nF,,
C42,100n,,
MHZ8,8MHZ,,
X-ROTOR_A10,PWR,,
PWM_A10,PWM,,
O1,ITR8307/TR8,,
R22,150R,,
J1,HEADER_3,,
R21,10k,,
O2,ITR8307/TR8,,
R24,150R,,
J2,HEADER_3,,
R23,10k,,
BLUETOOTH1,BLUETOOTH,,
J7,ON/OFF,,
BLUETOOTH0,BLUETOOTH,,
U3,drill,,
U5,drill,,
U7,drill,,
U8,drill,,
U9,drill,,
U10,drill,,
U4,drill,,
U6,drill,,
R36,0R,,
U11,drill,,
U12,drill,,
U13,TPS6214,,
C32,10uF,,
C33,3.3nF,,
R28,100k,,
STM32F405,STM32F405RG,w_smd_lqfp:lqfp64,
MPU6050,MPU_6050,,
C39,100n,,
NRST1,NRST,,
BOOT0,10k,,
R34,BOOT1,,
U1,DRV8833,,
C12,2.2uF,,
R4,47k,,
J3,A1,,
J4,A2,,
J5,B1,,
J6,B2,,
C10,10nF,,
C13,0.1uF,,
C14,10uF,,
R10,510R,w_smd_resistors:r_0603,
R12,680R,w_smd_resistors:r_0603,
R13,680R,w_smd_resistors:r_0603,
D8,GREEN,w_smd_leds:Led_0603,
D10,RED,w_smd_leds:Led_0603,
D11,BLUE,w_smd_leds:Led_0603,
R14,680R,w_smd_resistors:r_0603,
D12,RED,w_smd_leds:Led_0603,
D13,RED,w_smd_leds:Led_0603,
R15,680R,w_smd_resistors:r_0603,
SW1,RESET,,
C22,100nF,,
R11,680R,w_smd_resistors:r_0603,
D9,RED,w_smd_leds:Led_0603,
D14,RED,w_smd_leds:Led_0603,
R16,680R,w_smd_resistors:r_0603,
